description,subcategories,colors,sizes,genders
"Nam cần áo sơ mi để đi làm","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Nữ cần mua áo sơ mi trắng để đi làm","""[áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nữ]"""
"Nam muốn mua áo sơ mi để đi dự tiệc","""[áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn mua áo sơ mi để đi công tác","""[áo sơ mi]""","""[]""","""[]""","""[]"""
"Nữ cần mua áo sơ mi và váy để dự tiệc công ty","""[áo sơ mi, váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi là phụ nữ cần mua áo sơ mi và váy để dự tiệc","""[áo sơ mi, váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần một chiếc áo sơ mi để đi sự kiện từ thiện buổi tối","""[áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nam cần áo sơ mi để đi dự lễ cưới","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Con gái cần quần jean và áo thun để đi chơi","""[quần jean, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần quần jean và áo thun cho buổi đi dạo đêm sau tiệc","""[quần jean, áo thun]""","""[ ]""","""[]""","""[]"""
"Tôi muốn tìm áo thun và quần jean để đi chơi và tôi hơi mập","""[áo thun, quần jean]""","""[Lớn, Rất lớn]""","""[]""","""[]"""
"Tôi muốn tìm áo thun và quần jean để đi chơi","""[áo thun, quần jean]""","""[]""","""[]""","""[]"""
"Nữ cần quần jean để đi làm","""[quần jean]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi là nữ, cơ thể rất ốm cần quần jean để đi làm","""[quần jean]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[Nữ]"""
"Tôi là nữ, cơ thể hơi nhỏ con cần quần jean để đi làm","""[quần jean]""","""[]""","""[Nhỏ]""","""[Nữ]"""
"Nam cần mua quần jean để mặc khi đi chơi","""[quần jean]""","""[ ]""","""[]""","""[Nam]"""
"Nam cần áo thun và quần jean để đi dự tiệc BBQ ngoài trời","""[áo thun, quần jean]""","""[ ]""","""[]""","""[Nam]"""
"Nam cần tìm áo polo và quần short để chơi thể thao","""[áo polo, quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn mua áo ba lỗ để đi biển","""[áo ba lỗ]""","""[]""","""[]""","""[]"""
"Nam cần áo polo để đi chơi","""[áo polo]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn tìm áo khoác gió để đi du lịch","""[áo khoác]""","""[ ]""","""[]""","""[]"""
"Nam muốn mua áo khoác để đi phượt","""[áo khoác]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn mua áo thun để đi dạo biển","""[áo thun]""","""[ ]""","""[]""","""[]"""
"Nam cần áo thun để mặc khi đi chơi thể thao","""[áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn tìm quần short để mặc đi du lịch mùa hè","""[quần short]""","""[]""","""[]""","""[]"""
"Tôi muốn mua áo thun để đi dạo biển vì trời nóng","""[áo thun]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi cần áo khoác để đi leo núi","""[áo khoác]""","""[ ]""","""[]""","""[]"""
"Nữ cần áo ba lỗ để đi tập gym","""[áo ba lỗ]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần áo thun để mặc khi đi du lịch mùa hè","""[áo thun]""","""[Màu lạnh]""","""[]""","""[]"""
"Nam cần áo polo để đi chơi cuối tuần","""[áo polo]""","""[]""","""[]""","""[Nam]"""
"Nam cần mua áo khoác da để đi chơi mùa đông","""[áo khoác]""","""[Màu ấm, Màu tối]""","""[]""","""[Nam]"""
"Nam muốn mua áo polo và quần short để dự sinh nhật ngoài trời","""[áo polo, quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn tìm một chiếc áo khoác phù hợp cho sự kiện ngoài trời vào buổi tối","""[áo khoác]""","""[ ]""","""[]""","""[]"""
"Tôi cần tìm áo ba lỗ và quần short cho buổi tiệc nướng ngoài trời","""[áo ba lỗ, quần short]""","""[]""","""[]""","""[]"""
"Nam cần quần short và áo thun cho bữa tiệc sinh nhật ngoài trời","""[quần short, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn mua áo dài để đi lễ hội truyền thống","""[áo dài]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi muốn áo dài cho dịp lễ hội văn hóa","""[áo dài]""","""[]""","""[]""","""[]"""
"Nữ muốn Bộ quần áo thun để đi dạo buổi tối","""[Bộ quần áo thun]""","""[Màu lạnh]""","""[]""","""[Nữ]"""
"Nam muốn mua Bộ quần áo thun để mặc ở nhà","""[Bộ quần áo thun]""","""[]""","""[]""","""[Nam]"""
"Nữ muốn áo dài cho dịp Tết","""[áo dài]""","""[Màu tươi]""","""[]""","""[Nữ]"""
"Nữ muốn mua áo dài mặc lễ khai giảng","""[áo dài]""","""[]""","""[]""","""[Nữ]"""
"Mình muốn mua bộ quần áo thun để đi dạo công viên buổi sáng","""[Bộ quần áo thun]""","""[ ]""","""[]""","""[]"""
"Nam cần quần short để đi du lịch","""[quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi cần bộ đồ ngủ thoải mái để ngủ ngon","""[đồ ngủ]""","""[ ]""","""[]""","""[]"""
"Có đồ ngủ nào mát không","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi muốn đồ ngủ mát để ngủ","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi muốn đồ ngủ mát để ngủ trong mùa hè","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi muốn đồ ngủ ấm áp để mặc mùa đông","""[đồ ngủ]""","""[Màu ấm, Màu tối]""","""[lớn, rất lớn]""","""[]"""
"Con trai cần mua bộ đồ ngủ mát cho mùa hè","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[Nam]"""
"Nữ muốn bộ đồ ngủ dễ thương để mặc mùa hè","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[Nữ]"""
"Nam cần đồ thể thao để tham gia hoạt động ngoài trời","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
"Tôi là con trai muốn đồ thể thao để chơi cầu lông","""[đồ thể thao]""","""[]""","""[]""","""[Nam]"""
"Mình muốn mua đồ thể thao để đi bơi","""[đồ thể thao]""","""[]""","""[trung bình]""","""[]"""
"Tôi muốn đồ thể thao nhẹ nhàng để đi tập yoga","""[đồ thể thao]""","""[  ]""","""[]""","""[]"""
"Nữ muốn đồ thể thao để đi tập gym","""[đồ thể thao]""","""[ ]""","""[]""","""[Nữ]"""
"Nữ muốn tìm một bộ váy để đi sinh nhật bạn thân","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Con gái cần mua váy để đi dự tiệc công ty","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần váy để dự lễ tốt nghiệp","""[váy]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần mua váy đi tiệc cưới","""[váy]""","""[]""","""[]""","""[]"""
"Nữ muốn tìm váy để đi dạ hội","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi muốn mua váy đi chơi biển","""[váy]""","""[]""","""[]""","""[]"""
"Nữ cần váy dạ hội để tham dự tiệc cưới","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần váy để tham gia buổi tiệc tối","""[váy]""","""[]""","""[]""","""[]"""
"Con gái cần một bộ váy đẹp để đi dự tiệc cocktail","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm váy","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo khoác","""[Áo khoác]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo thun","""[Áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo sơ mi","""[Áo sơ mi]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo polo","""[Áo polo]""","""[]""","""[]""","""[Nữ]"""
"Là nữ cần tìm một bộ váy","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Nam cần tìm áo sơ mi để mặc","""[Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Nam cần tìm áo khoác để mặc đi ra đường","""[Áo khoác]""","""[]""","""[]""","""[Nữ]"""
"Tìm cho tôi áo khoác và quần tây","""[Áo khoác, Quần tây]""","""[]""","""[]""","""[]"""
"Tìm cho tôi áo khoác và áo sơ mi","""[Áo khoác, Áo sơ mi]""","""[]""","""[]""","""[]"""
"Tìm cho tôi áo khoác và áo sơ mi cho nam","""[Áo khoác, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tìm cho tôi quần tây và áo sơ mi cho nam","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn tìm quần tây và áo sơ mi cho nam","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Bạn có quần tây và áo sơ mi cho nam không","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Quần tây và áo sơ mi","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[]"""
"Tôi cần tìm áo trắng đi học","""[Áo sơ mi]""","""[]""","""[]""","""[]"""
"Tôi cần tìm áo trắng đi học cho nữ","""[Áo sơ mi]""","""[]""","""[]""","""[nữ]"""
"Tôi cần tìm áo vest áo sơ mi và quần tây để đi đám cưới","""[Áo vest, áo sơ mi, quần tây]""","""[]""","""[]""","""[]"""
"Tôi cần tìm áo vest áo sơ mi và quần tây","""[Áo vest, áo sơ mi, quần tây]""","""[]""","""[]""","""[]"""
"Áo vest áo sơ mi và quần tây","""[Áo vest, áo sơ mi, quần tây]""","""[]""","""[]""","""[]"""
"Là con trai tôi hay ra ngoài vận động thì mặc gì","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
"Trang phục thể thao cho nữ","""[Đồ thể thao]""","""[]""","""[]""","""[Nữ]"""
"Bạn tìm giúp tôi áo màu nào nỗi bậc đi","""[Áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"tìm giúp tôi áo màu nào nỗi bậc đi","""[Áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"tìm cho tôi áo nào có màu tươi sáng đi","""[Áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"tìm cho váy nào có màu sáng đi","""[Váy]""","""[Màu sáng]""","""[]""","""[]"""
"tìm cho váy nào có màu tối đi","""[Váy]""","""[Màu tối]""","""[]""","""[]"""
"tìm cho váy nào phù hợp với phụ nữ có gia đình đi","""[Váy]""","""[Màu tối, màu trung tính]""","""[]""","""[]"""
"tìm cho áo nào phù hợp với phụ nữ có gia đình đi","""[áo khoác, áo polo, áo sơ mi]""","""[Màu tối, màu trung tính]""","""[]""","""[]"""
"Tìm cho tôi áo nào phù hợp với người có chiều cao tốt","""[áo khoác, áo polo, áo sơ mi]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm cho tôi áo nào phù hợp với người có cận nặng lớn","""[áo khoác, áo polo, áo sơ mi]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm áo nào phù hợp với người có cận nặng lớn","""[áo khoác, áo polo, áo sơ mi]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm quần phù hợp với người có cận nặng lớn","""[quần jean, quần tây, quần dài]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"quần nào là phù hợp với người có cận nặng lớn","""[quần jean, quần tây, quần dài]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm cho tôi áo phù hợp cho người gầy đi","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[nhỏ]""","""[]"""
"Tìm cho tôi áo phù hợp cho người rất gầy đi","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ]""","""[]"""
"Tìm cho tôi áo phù hợp cho người cực kỳ gầy","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ]""","""[]"""
"Tôi vốn dĩ nhỏ con nên khó khăn trong việc tìm áo bạn giúp tôi được chứ","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ, nhỏ]""","""[]"""
"Thấp bé quá nên chọn đồ khó khăn do vậy hãy tìm giúp tôi áo nào phù hợp đi","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và có màu tối","""[áo sơ mi, áo thun, áo polo]""","""[Màu tối]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và phù hợp cho người trưởng thành","""[áo sơ mi, áo thun, áo polo]""","""[Màu tối, màu trung tính]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và có màu sắc sặc sỡ","""[áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và phù hợp mặc vào mùa đông","""[áo khoác]""","""[Màu ấm, màu tối]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tôi là một người mẹ hay lo lắng cho con trai mai là ngày nhập học cho nó không biết mua áo gì để học đây","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi giảng viên không biết tìm áo gì là thích hợp để đi dạy đây","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi có đứa con gái không biết mua áo gì là phù hợp vì con tôi khá thấp bé","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[rất nhỏ, nhỏ]""","""[Nam]"""
"Tìm giúp tôi áo dành cho người có thân hình vừa phải thôi không quá to lớn","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[Trung bình]""","""[Nam]"""
"Tìm giúp tôi áo dành cho người có thân hình ốm yếu và nhỏ con","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[rất nhỏ, nhỏ]""","""[Nam]"""
"Tôi là người hơi to con nên mặc áo có kích thước nào cho vừa","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[Trung bình, Lớn]""","""[Nam]"""
"Là bạn trai nên tôi phải mua quà cho người yêu mà không biết chọn gì là hợp lý cho cô ấy","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Dáng tôi hơi bự tìm cho tôi áo nào vừa kích cở đi","""[Áo thun, Áo sơ mi, Áo polo]""","""[]""","""[Trung bình, Lớn]""","""[]"""
"Tôi mập mạp có quần tây nào vừa người tôi không","""[Quần tây]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tôi hơi mập mạp và thích màu sắc tối có quần tây nào phù hợp không","""[Quần tây]""","""[Màu tối]""","""[Lớn, Rất lớn]""","""[]"""
"Tìm quần tây có kích thước lớn","""[Quần tây]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tìm quần tây có kích thước vừa phải","""[Quần tây]""","""[]""","""[Trung bình]""","""[]"""
"Tìm quần tây có kích thước nhỏ","""[Quần tây]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tìm áo khoác cho người nhỏ con","""[Áo khoác]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tìm áo sơ mi cho người nhỏ con","""[Áo sơ mi]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tôi là một người gầy, muốn tìm áo để che bớt thân hình, có loại nào hợp không?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tôi là một người gầy nhưng lại thích áo có kích thước lớn tìm giúp tôi?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Tôi là một người mập nhưng lại thích áo có kích thước nhỏ tìm giúp tôi?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Nhỏ]""","""[]"""
"Tôi là một người mập nhưng lại thích áo có kích thước nhỏ tìm giúp tôi?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Nhỏ]""","""[]"""
"Tôi chuẩn bị đi du lịch, muốn tìm áo phù hợp với dáng người tròn trịa của mình. Có gợi ý nào không?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Con gái tôi sắp dự lễ hội trường, nên chọn váy kiểu gì cho phù hợp với vóc dáng nhỏ nhắn của nó?","""[Váy]""","""[]""","""[Nhỏ, rất nhỏ]""","""[Nữ]"""
"Tôi là người có vóc dáng tầm trung nên tìm loại áo thun có kích thước nào là phù hợp?","""[Áo thun]""","""[]""","""[Trung bình]""","""[]"""
"Tôi cần tìm áo khoác cho con gái nhỏ con của mình để mặc vào mùa đông. Có gợi ý nào không?","""[Áo khoác]""","""[Màu ấm Màu tối]""","""[Nhỏ rất nhỏ]""","""[Nữ]"""
"Sinh nhật của cháu gái tôi nên mua áo gì cho con bé vì nó có dáng hơi nhỏ","""[Áo thun]""","""[]""","""[Nhỏ rất nhỏ]""","""[Nữ]"""
"Tôi cần tìm đồ thể thao cho người có vóc dáng nhỏ","""[Đồ thể thao]""","""[]""","""[Nhỏ rất nhỏ]""","""[]"""
"Tôi là vận động viên nữ có dáng người nhỏ tìm đồ thể thao phù hợp cho tôi đi","""[Đồ thể thao]""","""[]""","""[Nhỏ rất nhỏ]""","""[Nữ]"""
"Vận động viên nam có thân hình to lớn nên chọn đồ nào để đi chạy","""[Đồ thể thao]""","""[]""","""[Lớn, Rất lớn]""","""[Nam]"""
"Có áo thun nam phù hợp với thân hình to lớn không","""[Áo thun]""","""[]""","""[Lớn, Rất lớn]""","""[Nam]"""
"Có áo thun nữ phù hợp với thân hình to lớn không","""[Áo thun]""","""[]""","""[Lớn, Rất lớn]""","""[Nữ]"""
"Có áo thun phù hợp với thân hình to lớn không","""[Áo thun]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tư vấn áo sơ mi cho mùa hè đi","""[Áo sơ mi]""","""[Màu sáng]""","""[]""","""[]"""
"Tư vấn áo khoác cho mùa hè đi","""[Áo khoác]""","""[Màu sáng]""","""[]""","""[]"""
"Tư vấn áo khoác cho mùa hè cho người to con đi","""[Áo khoác]""","""[Màu sáng]""","""[Lớn, Rất lớn]""","""[]"""
"Tư vấn áo khoác cho mùa hè cho người to nhỏ con đi","""[Áo khoác]""","""[Màu sáng]""","""[Lớn, Rất lớn]""","""[]"""
"Tư vấn áo khoác cho người bự con mặc vào  mùa hè đi","""[Áo khoác]""","""[Màu sáng]""","""[Lớn, Rất lớn]""","""[]"""
"Tư vấn áo khoác cho người nhỏ con mặc vào  mùa hè đi","""[Áo khoác]""","""[Màu sáng]""","""[Rất nhỏ, nhỏ]""","""[]"""
"Tư vấn áo khoác cho người có thân hình nhỏ con mặc vào  mùa hè đi","""[Áo khoác]""","""[Màu sáng]""","""[Rất nhỏ, nhỏ]""","""[]"""
"Có áo khoác cho người có thân hình to con mặc vào  mùa hè không","""[Áo khoác]""","""[Màu sáng]""","""[Rất nhỏ, nhỏ]""","""[]"""
"Tìm áo khoác cho người có thân hình to lớn mặc vào  mùa hè đi","""[Áo khoác]""","""[Màu sáng]""","""[Rất nhỏ, nhỏ]""","""[]"""
"Tìm áo khoác cho nữ để mặc vào mùa hè đi","""[Áo khoác]""","""[Màu sáng]""","""[]""","""[nữ]"""
"Nóng quá mặc áo khoác nào cho đỡ nóng","""[Áo khoác]""","""[Màu sáng]""","""[]""","""[]"""
"Nóng quá mặc áo khoác nào cho đỡ nóng với lại tôi hơi bự con","""[Áo khoác]""","""[Màu sáng]""","""[Lớn, Rất lớn]""","""[]"""
"Nóng quá mặc áo nào cho đỡ nóng","""[áo ba lỗ, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"Có áo trắng để đi học không","""[áo sơ mi]""","""[]""","""[]""","""[]"""
"Có áo trắng để đi học không. Áo dành cho người mập","""[áo sơ mi]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Có áo trắng cho con trai tôi mặc để đi học không","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Có áo trắng cho con trai tôi mặc để đi học không. Con tôi hơi mập","""[áo sơ mi]""","""[]""","""[Lớn, Rất lớn]""","""[Nam]"""
"Có áo trắng cho con trai tôi mặc để đi học không. Con tôi hơi ốm","""[áo sơ mi]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[Nam]"""
"Có áo trắng cho con trai tôi mặc để đi học không. Con tôi gầy lắm","""[áo sơ mi]""","""[]""","""[Nhỏ, Rất nhỏ]""","""[Nam]"""
